多国籍な拠点を持つ組織で、地域や事業単位ごとにポリシーを管理するAzureガバナンス戦略を設計している。ポリシーはサブスクリプションに継承される階層で割り当てる必要があり、必要に応じてより詳細なレベルで上書きできる必要がある。Azure Policyの定義を割り当てることができるスコープとして正しいものを3つ選べ。|リソースグループ|マネジメントグループ|Azure Active Directory テナント|サブスクリプション|個別の仮想マシンのネットワークインターフェース||||A B D|Azure Policyは階層型スコープで適用され、Management Group → Subscription → Resource Group → Resource の順で継承される。組織全体のポリシーはManagement Groupで定義し、サブスクリプション単位で追加ポリシーを設定でき、さらにResource Groupレベルで特定要件の上書きが可能である。Azure ADテナントはポリシー割り当てスコープではなく、個別NICなどの単一リソースはガバナンス階層の設計用途としては適切ではない。したがって正しいスコープはResource Group、Management Group、Subscriptionである。|Microsoft Learn Azure Policy documentation|Azure::Governance::Policy Azure::ManagementGroups Azure::Subscription Azure::ResourceGroups
高解像度の動画ファイルを処理するサーバーレスソリューションを設計している。1つのファイルの処理時間は2分〜45分と予測が難しい。また、ワークロードは断続的で大量のバーストがあり、処理がないときはゼロにスケールする必要がある。この要件に最も適したAzure Functionsのホスティングプランはどれか。|消費プラン|プレミアムプラン|App Serviceプラン（Isolated）|専用App Serviceプラン|コンテナーインスタンスプラン||||B|Azure FunctionsのPremiumプランは長時間実行のワークロードに対応し、実行時間制限がなく、イベントに応じて自動スケールできる。動画処理のような数十分かかる処理でもタイムアウトせず実行でき、バーストトラフィックにも対応できる。またアイドル時にはスケールダウンできる。Consumptionプランは実行時間制限があり長時間処理に不向き。App ServiceやDedicatedプランは常時インスタンス料金が発生しゼロスケールできない。Container InstancesはFunctionsのネイティブホスティングではなく運用負荷が高い。したがって最適解はPremiumプランである。|Microsoft Learn Azure Functions hosting plans|Azure::Functions Azure::Serverless Azure::Functions::HostingPlans
Kerberos認証を使用するオンプレミスの従来型Webアプリケーションがある。従業員の多くが恒久的にリモートワークへ移行したため、VPN接続なしでこのアプリケーションへアクセスする必要がある。また、ユーザーにはシームレスなシングルサインオン（SSO）体験を提供する必要がある。これらの要件を満たすために統合すべきAzureサービスを2つ選べ。|Azure AD アプリケーションプロキシ|WAF対応のAzure Front Door|Azure AD エンタープライズアプリケーション|Azure Arc 対応サーバー|条件付きアクセスポリシー||||A C|Azure AD Application ProxyはオンプレミスのWebアプリケーションを安全にインターネットへ公開し、VPNなしでリモートユーザーがアクセスできるようにするサービスであり、Azure AD認証を通じてSSOを実現できる。Azure AD Enterprise ApplicationsはAzure AD内でアプリケーションのID、SSO設定、ユーザー割り当てなどを管理するための構成要素であり、Application Proxyと組み合わせることでKerberosバックエンドを持つオンプレミスアプリに対するSSOを提供できる。Azure Front DoorはグローバルHTTPロードバランサでありSSO用途ではない。Azure Arcはハイブリッド管理用。Conditional Accessは追加のセキュリティ制御だが必須構成ではない。|Microsoft Learn Azure AD Application Proxy documentation|Azure::Identity Azure::AzureAD Azure::ApplicationProxy Azure::SSO Azure::EnterpriseApplications
数百万の大容量ファイル（1GB〜20TB）からなるペタバイト級の科学シミュレーションデータを保存するデータレイクを設計している。主なアクセスパターンは分析処理のための逐次読み取りである。ソリューションは非常に高い耐久性を持ち、可能な限り低コストで、かつPOSIX準拠のアクセス制御リスト（ACL）をサポートする必要がある。どのAzureストレージサービスを選択すべきか。|Azure Blob Storage（Hot tier）|Azure Data Lake Storage Gen2|Azure Files（Premium file share）|Azure NetApp Files|Azure Disk Storage（Ultra）||||B|Azure Data Lake Storage Gen2はAzure Blob Storage上に構築され、Hierarchical Namespace（HNS）を提供することでディレクトリ構造とPOSIX準拠のACLをサポートする。これにより大規模データレイクでの細かいアクセス制御が可能になる。またSpark、Databricks、Synapseなどの分析ワークロード向けに最適化されており、数百万ファイルの逐次読み取りにも適している。Blob Storage単体はPOSIX ACLを提供しない。Azure FilesやNetApp FilesはNAS用途でペタバイト級データレイクにはコスト効率が低い。Ultra DiskはVM向けブロックストレージでありデータレイク用途には適さない。|Microsoft Learn Azure Data Lake Storage Gen2 documentation|Azure::Storage Azure::DataLake::Gen2 Azure::BigData Azure::ACL
分散型の注文処理システムを設計している。システムはピーク負荷時でも確実にサービスを分離し、メッセージ配信を保証する必要がある。1つの「OrderPlaced」イベントは、請求・在庫・配送など複数の独立した下流サービスで処理される。また一部のサービスでは特定の注文タイプのみを処理するためのフィルタリングが必要である。このアーキテクチャの中核として最も適したAzureメッセージングサービスはどれか。|Azure Queue Storage|Azure Service Bus Queue|Azure Event Hubs|Azure Service Bus Topic|Azure Event Grid||||D|Azure Service Bus TopicsはPublish/Subscribeパターンを提供し、1つのメッセージを複数のサブスクリプションへファンアウトできる。各下流サービス（請求・在庫・配送など）は独自のサブスクリプションを持ち、SQLフィルターを使用して特定の注文タイプなどの条件でメッセージを選択できる。またメッセージの耐久性、少なくとも1回の配信保証、デッドレターキューなどの信頼性機能を提供する。Queue StorageやService Bus Queueは1つのメッセージを1つのコンシューマーのみが処理するモデルであり、ファンアウトには適さない。Event Hubsは高スループットのストリーミング用途、Event Gridはイベント通知用途であり、注文処理のような信頼性重視のメッセージングにはService Bus Topicsが最適である。|Microsoft Learn Azure Service Bus Topics documentation|Azure::Messaging Azure::ServiceBus Azure::PubSub Azure::DistributedSystems
外部ベンダーがAzureサブスクリプション内で重要なアプリケーションを開発しており、ベンダー開発者にはリソースグループに対するContributor権限が付与されている。外部アクセスは四半期ごとに確認される必要があり、ベンダーのプロジェクトマネージャーが通知後2週間以内にアクセスを承認しない場合は自動的に権限を取り消す必要がある。また管理オーバーヘッドは最小限である必要がある。どのソリューションを実装すべきか。|PowerShellでロール割り当てを確認・削除するAzure Automation Runbookを作成する|ベンダーアプリケーションを表すサービスプリンシパルに対してAzure AD Access Reviewsを実装する|Azure AD Privileged Identity Management（PIM）で時間制限付きロールを設定する|アプリケーションに割り当てられたベンダーユーザーを対象にAzure AD Access Reviewを作成する|未応答の場合にユーザーを削除するAzure Logic Appsを作成する||||B|Azure AD Access Reviewsは定期的なアクセスレビューを自動化するIdentity Governance機能であり、レビュー担当者がアクセスを承認しない場合に自動的に権限を削除できる。四半期ごとのレビューをスケジュールし、プロジェクトマネージャーをレビュアーとして設定することで、2週間以内に承認されないアクセスを自動的に取り消すことが可能である。対象は実際にリソースグループへアクセスするサービスプリンシパル（アプリケーションID）とすることで、正確な権限の見直しができる。Automation RunbookやLogic Appsによるスクリプト管理は運用負荷が高く、PIMは特権ロールのJIT管理用途でありこのシナリオには最適ではない。|Microsoft Learn Azure AD Access Reviews documentation|Azure::Identity Azure::AzureAD Azure::AccessReviews Azure::IdentityGovernance
「SG-Finance-Apps」というセキュリティグループには、パートナー企業のゲストユーザーを含む200人のメンバーが所属している。会社のポリシーにより、このグループのメンバーシップは60日ごとに見直される必要がある。各メンバーはアクセスの必要性を自ら証明しなければならず、応答しないユーザーやアクセス不要と回答したユーザーは自動的に削除される必要がある。この要件を満たすソリューションはどれか。|ユーザーの部署属性に基づく動的メンバーシップルールを持つ動的セキュリティグループに変更する|グループに対してAzure AD Access Reviewsを実装する|Azure AD Identity Protectionのユーザーリスクポリシーを構成する|グループにAzure AD Privileged Identity Management（PIM）を使用する|Azure MonitorアラートからLogic Appsを呼び出してグループメンバーシップを確認する||||B|Azure AD Access Reviewsは、グループやアプリケーションへのアクセスを定期的に見直すためのIdentity Governance機能である。レビューの周期（例：60日）を設定し、ユーザー自身による自己レビューを要求できる。また、レビュー期間内に応答しないユーザーやアクセス不要と回答したユーザーを自動的にグループから削除する設定も可能である。これにより社内ユーザーとゲストユーザーを含むグループメンバーシップの継続的なガバナンスを実現できる。動的グループは属性ベースの自動追加・削除のみであり自己証明ワークフローを提供しない。Identity ProtectionやPIMはこの用途には適していない。|Microsoft Learn Azure AD Access Reviews documentation|Azure::Identity Azure::AzureAD Azure::AccessReviews Azure::IdentityGovernance
ビジネスパートナー向けに内部のHTTPトリガー型Logic Appsを公開している。パートナーはAuth0やOktaなど異なるIDプロバイダーを使用しており、既存のOAuth 2.0インフラを利用してリクエストを認証する必要がある。またパートナーごとに厳格なレート制限を適用する必要がある。Logic Appsの変更やAzureテナント内にゲストアカウントを作成することはできない。最適なソリューションはどれか。|validate-jwtポリシーを使用したAzure API Management|Azure AD B2B コラボレーション|WAFカスタムルール付きAzure Front Door|URLパスベースルーティング付きAzure Application Gateway|Azure AD Application Proxy||||A|Azure API ManagementはAPIゲートウェイとしてLogic Appsの前段に配置でき、中央で認証・レート制限・ポリシー管理を実装できる。validate-jwtポリシーを使用することでAuth0やOktaなど外部OAuth 2.0プロバイダーが発行したJWTトークンを検証できる。またサブスクリプションやポリシーを使用してパートナーごとのレート制限やクォータを設定できるため、Logic Appsを変更する必要がない。Azure AD B2Bはゲストユーザー作成が必要で要件に合わない。Front DoorやApplication GatewayはOAuthトークン検証やパートナー単位のレート制限をネイティブに提供しない。Application Proxyは主にオンプレミスアプリ公開用途であり適切ではない。|Microsoft Learn Azure API Management documentation|Azure::APIManagement Azure::API::Gateway Azure::OAuth Azure::JWT
新しいコンプライアンス要件により、すべてのAzureリソースには「DataClassification」（Public、Internal、Confidential など）と「DataOwner」（メールアドレス）のタグを必須とする必要がある。これらのタグがない状態でデプロイされたリソースは自動的に非準拠と判定され、デプロイ自体もブロックされなければならない。どのソリューションを実装すべきか。|リソースグループタグ付けポリシーを含むAzure Blueprint|必要なタグがないリソース作成を拒否する「Deny」効果を持つAzure Policy|命名規則を強制するAzure Management Group階層|Azure Cost Managementのタグガバナンスポリシー|Azure DevOpsパイプラインのスクリプトでデプロイ前にタグを検証する||||B|Azure Policyの「Deny」効果を使用すると、必要なタグが付与されていないリソースの作成や更新をプラットフォームレベルでブロックできる。ポリシーでは特定のタグ（DataClassification、DataOwner）の存在を必須条件として定義し、さらに許可された値を指定することも可能である。これによりタグがないリソースはデプロイ自体が拒否され、自動的にコンプライアンスが強制される。Azure BlueprintやDevOpsスクリプトは補助的手段であり、プラットフォームレベルで確実にデプロイをブロックする機能は提供しない。|Microsoft Learn Azure Policy documentation|Azure::Governance Azure::Policy Azure::Tags Azure::Compliance
マルチテナントのSaaSアプリケーションを設計している。各テナントのデータはそれぞれ独自の暗号化キーで暗号化する必要がある。また、これらのキーは自社のHSMを使用して一元管理およびローテーションできる必要がある。さらに、すべてのテナントデータは単一のスケーラブルなストレージアカウント内に保存する必要がある。どのAzureサービスの組み合わせを使用すべきか。|Azure Blob Storage（アカウントレベルのCustomer-Managed Key）|Transparent Data Encryption（TDE）とCustomer-Managed Keyを使用したAzure SQL Database|Azure Blob Storage（サービスレベルのCustomer-Provided Key）|Azure Disk StorageとAzure Key Vault暗号化|サービス管理キーを使用するAzure Cosmos DB||||C|Azure Blob StorageのCustomer-Provided Key（CPK / SSE-CPK）を使用すると、クライアント側が各リクエストで暗号化キーを提供できるため、テナントごとに異なる暗号化キーを使用することが可能になる。これにより単一のストレージアカウント内にデータを保存しながらテナント単位の暗号化分離を実現できる。暗号化キーは自社のHSMで管理・ローテーションできるため、中央集権的なキー管理要件も満たす。アカウントレベルCMKではストレージアカウント全体で同一キーが使用されるためテナントごとの暗号化ができない。SQL TDEやDisk Storage、Cosmos DBのサービス管理キーもテナント単位のキー管理要件を満たさない。|Microsoft Learn Azure Blob Storage encryption documentation|Azure::Storage Azure::BlobStorage Azure::Encryption Azure::CustomerProvidedKeys Azure::SaaS
